       Step     Time          Energy          fmax
LBFGS:    0 22:09:15    -1930.354763        2.802036
LBFGS:    1 22:11:08    -1930.789991        1.863635
LBFGS:    2 22:12:46    -1931.002492        0.486799
LBFGS:    3 22:13:54    -1931.036443        0.267875
LBFGS:    4 22:15:06    -1931.055780        0.095668
LBFGS:    5 22:15:47    -1931.059022        0.055667
LBFGS:    6 22:16:34    -1931.061773        0.037400
LBFGS:    7 22:17:12    -1931.062696        0.031547
LBFGS:    8 22:17:53    -1931.063347        0.026958
LBFGS:    9 22:18:24    -1931.063639        0.020188
LBFGS:   10 22:18:54    -1931.063842        0.007571
